,web_title,web_link,web_summary,published_date,pdf_url,web_special,web_expire_date,web_applicant_contents,web_applicant,web_contractor,web_location,web_character,web_mitigation,pdf_permit_app_num,pdf_dist_code,pdf_dist_name,pdf_manager_name,pdf_manager_phone,pdf_manager_email,pdf_location,pdf_character,pdf_county,pdf_parish,pdf_hydrologic_unit_code,pdf_longitude,pdf_latitude,pdf_acreage,pdf_wqc,pdf_cup,error
72,MVN-2022-00688-WQQ,https://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/3297087/mvn-2022-00688-wqq/,"COULEE MINE EASTBANK REGIONAL DETENTION FACILITY IN LAFAYETTE PARISH
<br />","Tue, 21 Feb 2023 05:00:00 GMT",https://www.mvn.usace.army.mil/LinkClick.aspx?fileticket=ymkMxCyUftY%3d&portalid=56,No,3/13/2023,"Lafayette Parish Government, Attn: Angela Bergeron, Post Office Box 4017-C, Lafayette, Louisiana, 70502.",Lafayette Parish Government,,"Located North of Prejean Road and west and adjacent to Pelican Park, in Carencro, Louisiana, in Lafayette Parish (latitude 30.313889°; Longitude -92.059722°), as shown within the attached drawings. (Hydrologic Unit Code 08080103, within the Vermilion- Teche River Basin)","To construct three detention ponds, an inflow channel, three earthen spillways, and a recreational walking trail. The project has been designed to reduce flooding for Pinnacle Point and Mark Ridge Park residential subdivisions and reduce road closures due to frequent flooding. The construction of a walking trail will connect to Pelican Park to provide recreational opportunities for residents. Clearing and excavation are proposed for the creation of the ponds, channels and spillway, permanently impacting approximately 21.7 acres of bottomland hardwood wetland habitat and 0.4 of an acre of herbaceous wetland habitat. The proposed clearing and filling for the creation of a recreational walking trail will impact approximately 0.3 of an acre of bottomland hardwood wetland habitat. If a Department of the Army permit would be issued, the applicant has proposed to mitigate unavoidable wetlands impacts at an approved and acceptable mitigation bank within the N.O. District.",,MVN -2022-0 0688 WQQ,MVN,New Orleans District,Amy Oestringer,(504) 862- 2272,2272Amy.l.oestringer@usace.army.mil,,,,,,,,,,,0
73,MVN 2021-00317-2-CF,https://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/3297413/mvn-2021-00317-2-cf/,PROPOSED HIGHWAY EXTENSION BETWEEN TIGER BEND ROAD AND JEFFERSON HIGHWAY IN EAST BATON ROUGE PARISH <br />,"Tue, 21 Feb 2023 05:00:00 GMT",https://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/2021_00317_2_PNall.pdf?ver=hgmZYyZOe1EXw2c2VdwC2g%3d%3d,No,3/13/2023,"CITY OF BATON ROUGE, c/o AECOM, 8555 United Plaza Blvd., Suite 300, Baton Rouge, LA 70809, Attn: Jonathan Vavasseur.",CITY OF BATON ROUGE,AECOM,"Road extension between Jefferson Highway and Tiger Bend Road in Baton Rouge, Louisiana, within East Baton Rouge Parish, within the Lake Pontchartrain Basin in hydrologic unit (HUC 08070202), as shown on the attached drawings.","The applicant has requested Department of the Army authorization to clear, grade, excavate and deposit fill and/or aggregate material to construct and maintain a roadway/highway extension and detention pond between Tiger Bend Road and Jefferson Highway in Baton Rouge, Louisiana. The project is proposed to alleviate localized traffic. Approximately 0.58-acre of wetlands will be cleared and filled for the construction of the highway extension. Additionally, approximately 0.85-acre of other waters will be filled for the construction of the highway extension. Secondary impacts to wetlands are expected to be minimal with required best management practices to reduce runoff and erosion.A preliminary analysis has determined that the proposed project would directly impact 0.58acres of wetlandsMITIGATION: The applicant claims that they shifted their project alignment to the west to avoid impacts to wetlands. Additionally, the applicant states that they will purchase the appropriate type and quantity credits from an approved mitigation bank within the watershed for unavoidable impacts to wetlands.",,MVN 2021 -00317 -2-CF,MVN,New Orleans District,Zachary Steinkoenig,(504) 862 -1288,Zachary.j.steinkoenig@usace.army.mil,"Road extension between Jefferson Highway and Tiger Bend Road  in Baton Rouge , Louisiana, within East Baton Rouge  Parish,  within the Lake Pontchartrain Basin  in hydrologic unit (HUC 08070 202), as shown on the attached drawings.","The applicant has requested Department of the Army authorization to clear, grade , excavate  and deposit fill and/or aggregate material to construct and maintain a roadway/highway extension and detent ion pond between Tiger Bend Road  and Jefferson Highway in Baton Rouge, Louisiana. The project is proposed to alleviate localized traffic. Approximately 0. 58-acre of wetlands will be cleared and filled for the construction of the highway extension. Addition ally, approximately 0.85 -acre of other waters  will be filled for the construction of the highway extension. Secondary impacts to wetlands are expected to be minimal with required best management practices to reduce runoff and erosion.   A preliminary anal ysis has determined that the proposed project would directly impact 0. 58 acres of wetlands   MITIGATION  The applicant  claims  that they shifted their project alignment to the west to avoid impacts to wetlands . Additionally, the applicant states that they will purchase the appropriate type and quantity  credits from an approved mitigation bank within the watershed  for unavoidable impacts to wetlands.   2",,"Baton Rouge , Louisiana, within East Baton Rouge",,,,[],,,0
74,MVN-1998-00904-ECS,https://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/3290343/mvn-1998-00904-ecs/,"BARGE FLEET IMPROVEMENTS IN ST. CHARLES PARISH
<br />","Mon, 13 Feb 2023 05:00:00 GMT",https://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/PN_MVN-1998-00904-ECS_ADM_unsigned w drawings.pdf?ver=pDRv6XKTvIyoDSEyH_AS2A%3d%3d,No,3/14/2023,"ADM, c/o: Lanier & Associates Engineers, Attn.: Mr. John Maurin, 4101 Magazine St., New Orleans, LA 70115.",ADM,Lanier & Associ,"Located on left descending bank of the Mississippi River at approximate river mile 120.6 AHP, in Destrehan, St. Charles Parish, Louisiana, (lat. 29.941111, long. -90.359167), as shown on the attached drawings. (Hydrologic Unit Code: 08090100; Lower Mississippi River – New Orleans).","The proposed project is a modification to an existing barge fleet, which will involve the installation of three 48-inch monopiles to permanently moor a deck barge within the existing fleet. The purpose of the project is to help moor the fleet in place more securely. No excavation or fill required",,ERROR: 'NoneType' object has no attribute 'group',ERROR: cannot get permit application number,ERROR: cannot get permit application number,Carrie Schott,(504) 862- 1153,1153Carrie.G.Schott@usace.army.mil,ERROR: 'NoneType' object has no attribute 'group',,ERROR: cannot extract location of work,ERROR: cannot extract location of work,ERROR: cannot extract location of work,ERROR: cannot extract location of work,ERROR: cannot extract location of work,,,,9
75,MVN-2023-00073-ECS,https://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/3290368/mvn-2023-00073-ecs/,"RESIDENTIAL PIER, BOATHOUSE, AND CABANA IN LAKE PONCHARTRAIN, ST. TAMMANY PARISH
<br />","Mon, 13 Feb 2023 05:00:00 GMT",https://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/PN_MVN-2023-00073-ECS_MikeHall_unsigned with drawings.pdf?ver=3v3TsWfdHtNsaaMZq1Pqpg%3d%3d,No,2/28/2023,"Mr. Mike Hall, attn.: Mr. John Lamulle, Lamulle Construction, LLS, 4978 Pontchartrain Drive, Slidell, Louisiana 70458.",Mr. Mike Hall,,"Located on Lake Ponchartrain, 212 Esquinance Street, Mandeville, in St. Tammany Parish, Louisiana, (lat. 30.365536, long. -90.097575), as shown within the attached drawings. (Hydrologic Unit Code 080702040501, Selsers Creek Watershed).","The proposed project is the residential construction of a 451-foot fiberglass pier, 120-foot by 30-foot boathouse, and a 16-foot by 24-foot cabana. The purpose of the project is for private recreational use. No excavation or fill required.",,MVN-2023-00073-ECS,MVN,New Orleans District,Carrie Schott,(504) 862-1153,Carrie.G.Schott@us ace.army.mil,"Located on Lake Ponchartrain, 212 Esquinance Street, Mandeville, in St. Tammany Parish, Louisiana, (lat. 30.365536, long. -90.097575), as shown within the attached drawings. (Hydrologic Unit Code 080702040501, Selsers Creek Watershed).","The proposed project is the residential construction of a 451-foot fiberglass pier, 120-foot by 30-foot boathouse, and a 16-foot by 24-foot cabana. The purpose of the project is for private recreational use.  No excavation or fill required.  MITIGATION Compensatory mitigation is not required because the project scope is related to Section 10 structures only.",,St. Tammany,080702040501,['90.097575'],['30.365536'],,,,0
76,MVN-2022-01248-ECS,https://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/3290387/mvn-2022-01248-ecs/,"COMMERCIAL CONSTRUCTION OF A GAS STATION AND APPURTENANCES IN ST. CHARLES PARISH
<br />","Mon, 13 Feb 2023 05:00:00 GMT",https://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/PN_MVN-2022-01248-ECS_RaceTracPetroleum unsigned with drawings.pdf?ver=KDQaU_bduBM3tTHD_ji6nA%3d%3d,No,3/6/2023,"RaceTrac Petroleum, c/o: Hydrik Wetlands Consultants, attn.: Mr. Michael Henry, 2323 Highway 190 East, Suite 2, Hammond, Louisiana 70401.",RaceTrac Petroleum,Hydrik Wetlands Consultants,"Located southwesterly of US HWY 90 and LA HWY 632 (WPA Rd.) in Des Allemands, in St. Charles Parish, Louisiana, (lat. 29.82355, long. -90.46534), as shown within the attached drawings. (Hydrologic Unit Code 080903010302, Des Allemands-Crawford Canal Watershed).",The proposed project is to construct a new gas station and appurtenances on a 5.35 acres parcel. The project as proposed would directly impact 1.39 acres (permanently) of jurisdictional wetlands and 0.026 acres of non-tidal waters.,,MVN -2022-01248 -ECS,MVN,New Orleans District,Carrie Schott,(504) 862-1153,Carrie.G.Schott@usace.army.mil,"Located southwesterly of US HWY 90 and LA HWY 632 (WPA Rd.) in Des  Allemands,  in St. Charles Parish, Louisiana, (lat. 29.82355, long. -9 0.46534), as shown  within the attached drawings. (Hydrologic Unit Code 08 0903010302, Des Allemands -Crawford Canal W atershed).","The proposed project is to construct a new gas station and appurtenances on a 5.35 acres parcel.  The project as proposed would directly impact 1.39 acres (permanent ly) of jurisdictional wetlands and 0 .026 acres of non -tidal  waters.     MITIGATION  The applicant proposed to contract with an approved mitigation bank in order to offset the adverse impact to jurisdictional wetlands , should a DA permit be issued.",,"Des  Allemands,  in St. Charles",08 0903010302,[],['29.82355'],['.026'],,,0
77,MVN-2009-01517-2-EG,https://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/3292208/mvn-2009-01517-2-eg/,COMMERCIAL DEVELOPMENT IN TANGIPAHOA PARISH <br />,"Mon, 13 Feb 2023 05:00:00 GMT",https://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/MVN_2009_01517_EG_PNall.pdf?ver=MILdDXRDd62vDGkOlLN6vA%3d%3d,No,3/6/2023,"Dwayne Rovira, c/o Hydrik Wetland Consultants, Attn: Mike Henry, 2323 Hwy. 190 East, Suite 2, Hammond, LA 70401 (mike@hydrik.com)",Dwayne Rovira,Hydrik Wetland Consultants,"At approximately Latitude: 30.477063, Longitude: -90.425772, off of Interstate-12 south service road, in Hammond, Louisiana, in Tangipahoa Parish, as shown on the enclosed drawings.Hydrologic Unit Code: 08070203 (Lake Maurepas- Tickfaw)The work described below was partially completed prior to obtaining a Department of the Army permit and was in violation of Section 301 of the Clean Water Act. All legal issues concerning the unauthorized work have since been deferred.","Clear, grade, and place approximately 16,950-cubic yards of hauled-in clay/silt to facilitate the construction of an approximate 15-acre commercial development. A portion of the commercial development has been previously constructed and the applicant is also seeking to resolve unauthorized activities and associated project-related wetland impacts (1.13-acres) on the site. The applicant proposes to compensate for unavoidable project-related impacts to approximately 6.15-acres of jurisdictional wetlands through the purchase of wetland credits from a Corps’ approved mitigation bank within the appropriate watershed.The applicant may be required to fully or partially restore the site to pre-project conditions if issuance of a permit is determined to be contrary to the public interest.",,MVN -2009- 01517- EG,MVN,New Orleans District,Angelle Greer,(504) 862- 2279,angelle.v.greer@usace.army.mil,,"Clear, grade, and p lace approximately 16,950- cubic yards of hauled- in clay/silt to facilitate the construction of an approximate 15-acre comm ercial development.  A portion of the commercial development has been previously constructed and the applicant is also seeking to resolve unauthorized activities and associated project -related  wetland impacts (1.13- acres) on the site.  The applicant proposes to compensate for unavoidable project -related impacts to approximately 6.15- acres of jurisdictional wetlands through the purchase of wetland c redits from a Corps’ approved mitigation bank within the appropriate watershed.     The applicant may be required to fully or partially restore the site to pre- project conditions if issuance of a permit is determined to be contrary to the public interest.",,,,,,['6.15-'],ERROR: 'NoneType' object has no attribute 'group',,1
78,MVN-2022-01059-WPP,https://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/3292214/mvn-2022-01059-wpp/,INSTALLATION OF OIL EXPORT PIPELINE IN THE GULF OF MEXICO<br />,"Mon, 13 Feb 2023 05:00:00 GMT",https://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/UNSIGNED PN MVN-2022-01059-WPP Manta Ray.pdf?ver=L9sPA4hWIKi8pxlds9BmTA%3d%3d,No,2/27/2023,"Manta Ray Gathering Company, LLC, 919 Milam Street, Suite 210, Houston, Texas 77002.",Manta Ray G,,"Located in the Gulf or Mexico, Outer Continental Shelf, Louisiana, Point of Beginning latitude 26.88628, longitude -91.567608, Point of Ending latitude 27.9231339, longitude -91.553897, as shown within the enclosed drawings.","The installation of approximately 105.26 statute miles of 20-inch diameter oil export pipeline. The proposed pipeline would begin in the Walker Ridge Area, Block 52, and would terminate in the Garden Banks Area, Block 72. The proposed project does not include a discharge of fill material into waters of the US and/or include any wetland impacts or effects to special aquatic sites. The applicant has not proposed to provide compensatory mitigation, as there are no plans to impact wetlands resources through project construction.",,ERROR: 'NoneType' object has no attribute 'group',ERROR: cannot get permit application number,ERROR: cannot get permit application number,Johnny J. Duplantis,(504) 862-2548,johnny.j.duplantis@usace.army.mil,"Located in the Gulf or Me xico, Outer Continental Shelf, Louisiana, Point of Beginning latitude 26.886 28, longitude -91.567608, Point of Ending latitude 27.9231339, longitude -91.553897, as shown within the enclosed drawings.","The installation of approxim ately 105.26 statute miles of 20-inch diameter oil export pipeline. The proposed pipeline would begin in the Walker Ridge Area, Block 52, and would terminate in the Garden Banks Area, Block 72.  The proposed project does not include a discharge of  fill material into waters of the US and/or include any wetland impacts or effects to  special aquatic sites. The applicant has not proposed to provide compensatory mitiga tion, as there are no plans to impact wetlands resources through project construction.",,,,"['91.567608', '91.553897']","['26.886', '27.9231339']",,,,3
79,MVN-2007-04435-EMM,https://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/3292349/mvn-2007-04435-emm/,"CLEAR, GRADE, EXCAVATE, AND FILL TO CONSTRUCT AND MAINTAIN DRAINAGE, PARKING, INFRASTRUCTURE, AND ROADWAYS ASSOCIATED WITH THE MADISON BUSINESS PARK IN TANGIPAHOA PARISH
<br />","Mon, 13 Feb 2023 05:00:00 GMT",https://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/Unsigned PN MVN-2007-04435-EMM.pdf?ver=LTkmJkCjG4u15I-Avp8dvA%3d%3d,No,3/6/2023,"Louisiana Sportsman’s Paradise, c/o Biological Surveys, Inc., Post Office Box 94, Covington, Louisiana 70434",Louisiana Sportsman’s Paradise,"Biological Surveys, Inc.","Located on the west side of LA 445, north of Bardwell Road, in the town of Robert, in Tangiaphoa Parish Louisiana, (Latitude: 30.475833 Longitude: -90.332222), as shown within the attached drawings. (Hydrologic Unit Code: 08070205, Lower Mississippi – Lake Maurepas watershed).","The proposed project is to develop the Madison Business Park. The proposed work will be accomplished by clearing, grading, excavating, and depositing fill to maintain drainage, parking, infrastructures, and roadways. This permit, MVN 2007-04435 EPP, was previously issued in May 2009. The site is partially cleared and filled. It is not anticipated that there will be any additional permanent or temporary impacts to jurisdictional wetlands or Waters of the U.S.",,MVN 20 07-04435 EMM,MVN,New Orleans District,ERROR: 'NoneType' object has no attribute 'group',(504) 862- 2259,2259Scott.N.Kennedy@usace.army.mil,"Located on the west side of LA 445, north of Bardwell Road, in  the town of Robert,  in Tangiaphoa Parish  Louisiana, ( Latitude 30.475833 Longitude -90.332222), as shown within the attached drawings. ( Hydrologic Unit Code 08070205,  Lower Mississippi – Lake Maurepas  watershed).","The proposed project  is to develop the Madison Business Park. The proposed work will be accomplished by  clearing , grading, excavat ing, and depositing fill  to maintain drainage, parking, infrastructures, a nd roadways . This permit, MVN 2007- 04435 E PP, was previously issued in May 2009.  The site is partially cleared and filled.  It is not anticipated  that there will be any  additional  permanent or temporary impacts  to jurisdictional wetlands  or Waters of the U.S.  MITIGATION  The applicant proposes to avoid direct impacts and minimize secondary impacts (to wetlands) to the maximum extent practicable. Approximately 22.8 acres of wetlands were previously mitigated for at an approved mitigation bank.",,"the town of Robert,  in Tangiaphoa",08070205,['90.332222'],['30.475833'],['22.8'],,,1
80,MVN-2021-01280-EBB,https://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/3293088/mvn-2021-01280-ebb/,BOATHOUSE ON TCHEFUNCTE RIVER IN ST. TAMMANY PARISH<br />,"Mon, 13 Feb 2023 05:00:00 GMT",https://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/2021-01280-EBB_PNall.pdf?ver=J2Ln55bkN_HLtI-sPvM07w%3d%3d,No,2/28/2023,"John Kilpatrick c/o Lamulle Construction, LLC, Attention: John Lamulle, 4978 Pontchartrain Drive, Slidell, Louisiana 70458.",John Kilpatrick,"Lamulle Construction, LLC","On the Tchefuncte River, at 115 Ann Street, Covington, in St. Tammany Parish, Louisiana, (lat./long: 30.45303, -90.113082), as shown on the attached drawings. (Hydrologic Unit Code: 08090201; Liberty Bayou – Tchefuncta River).","The proposed project is to install and maintain a 6’ x 100’ raised walkway and 30’ x 40’boathouse with piers. Work will be accomplished from land and water, and no work will take place in the wetland crossing. Pile-driving in the wetland area will proceed from upland areas. The project as proposed would temporarily impact 0.004 acres of wetlands. No trees will be removed, the walkway will be raised four feet, and no fill is required. These proposed recreational structures are to serve the existing residence.",,MVN-2021-01280-EBB,MVN,New Orleans District,Jennifer Burkett,(504) 862-2045,862-2045jennifer.e.burkett@usace.army.mil,"On the Tchefuncte River, at 115 Ann Street, Covington, in St. Tammany Parish, Louisiana, (lat./long 30.45303, -90.113082), as shown on the attached drawings.  (Hydrologic Unit Code  08090201; Liberty Bayou – Tchefuncta River).","The proposed project is to install and maintain a 6’ x 100’ raised walkway and 30’ x 40’boathouse with piers. Work will be accomplished from land and water, and no work will take place in the wetland crossing.  Pile-driving in the wetland area will proceed from upland areas.  The project as proposed would temporarily impact 0.004 acres of wetlands.  No trees will be removed, the walkway will be raised four feet, and no fill is required.  These proposed recreational structures are to serve the existing residence. MITIGATION  The applicant proposes to avoid direct impacts and minimize secondary impacts to wetlands and waters to the maximum extent practicable.  No permanent adverse impacts to special aquatic sites are proposed; no compensatory mitigation is anticipated at this time. -2-",,St. Tammany,08090201,['90.113082'],['30.45303'],['0.004'],,,0
81,MVN-2005-00618-EBB,https://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/3286586/mvn-2005-00618-ebb/,SUBDIVISION ON BAYOU BARATARIA IN JEFFERSON PARISH<br />,"Mon, 06 Feb 2023 06:01:00 GMT",https://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/2005-00618_PNall.pdf?ver=USrjyziIj2459mAFRwWKZA%3d%3d,No,2/27/2023,"Jean Lafitte Landing, LLC c/o Hydrik Wetlands Consultants, Attention: Mike Henry, 2323 Highway 190 East Suite 2, Hammond, Louisiana 70401.","Jean Lafitte Landing, LLC",Hydrik Wetlands Consultants,"Located on the right descending bank of Bayou Barataria, around 4953 Privateer Boulevard, Lafitte, in Jefferson Parish, Louisiana, (lat./long: 29.6799083, -90.106622), as shown on the attached drawings. (Hydrologic Unit Code: 08090301; East – Central Louisiana Coastal).","The proposed project is to dredge, clear, grade, and install and maintain fill to construct the Homeplace residential subdivision. The 23 lots will comprise an area of 12.2 acres and require 33,833 cubic yards of fill. Approximately 9752 cubic yards will be excavated from the water bottom and placed behind a proposed 2,325' bulkhead. The dredge area will be 2.07 acres adjacent to the bulkhead for the entire length. The remaining 24,081 cubic yards of fill will be hauled in from offsite. The project as proposed would permanently impact 4.3 acres of scrub-shrub and emergent wetlands and 6.22 acres of non-vegetated water bottoms.This project was previously authorized on August 17, 2006.MITIGATION: The applicant proposes to avoid direct impacts and minimize secondary impacts to wetlands and waters to the maximum extent practicable. The applicant completed purchase of compensatory mitigation for unavoidable wetland impacts prior to issuance of the original permit. There are no changes to the proposed impacts.",,MVN-2005-00618-EBB,MVN,New Orleans District,Jennifer Burkett,(504) 862-2045,jennifer.e.burkett@usace.army.mil,"Located on the right descending bank of Bayou Barataria, around 4953 Privateer Boulevard, Lafitte, in Jefferson Parish, Louisiana, (lat./long  29.6799083, -90.106622), as shown on the attached drawings.  (Hydrologic Unit Code  08090301; East – Central Louisiana Coastal).","The proposed project is to dredge, clear, grade, and install and maintain fill to construct the Homeplace residential subdivision.  The 23 lots will comprise an area of 12.2 acres and require 33,833 cubic yards of fill.  Approximately 9752 cubic yards will be excavated from the water bottom and placed behind a proposed 2,325' bulkhead. The dredge area will be 2.07 acres adjacent to the bulkhead for the entire length. The remaining 24,081 cubic yards of fill will be hauled in from offsite.  The project as proposed would permanently impact 4.3 acres of scrub-shrub and emergent wetlands and 6.22 acres of non-vegetated water bottoms.    This project was previously authorized on August 17, 2006.  -2-  MITIGATION   The applicant proposes to avoid direct impacts and minimize secondary impacts to wetlands and waters to the maximum extent practicable.  The applicant completed purchase of compensatory mitigation for unavoidable wetland impacts prior to issuance of the original permit.  There are no changes to the proposed impacts. interest.",,Jefferson,08090301,['90.106622'],['29.6799083'],"['4.3', '6.22']",,,0
82,MVN-2022-00376-CF,https://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/3283682/mvn-2022-00376-cf/,PROPOSED “CHOCTAW-INTRACOASTAL SUBDIVISION” PHASE I in WEST BATON ROUGE PARISH<br />,"Mon, 06 Feb 2023 05:00:00 GMT",https://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/2022_00376_PNall.pdf?ver=jjDHVXvjJkQlqy5vE1OprQ%3d%3d,No,2/27/2023,"3SK PROPERTIES LLC, c/o Bottomland Consulting, LLC, 2194 South Fieldspan Road, Duson, Louisiana 70529.",3SK PROPERTIES LLC,"Bottomland Consulting, LLC","In and adjacent to Port Allen Lock, approximately 3.5 miles southwest of Brusly, Louisiana, in West Baton Rouge Parish, within the Terrebonne Basin in hydrologic unit (HUC 08070300), as shown on the attached drawings.","The applicant has requested Department of the Army authorization to clear, grade, excavate and deposit fill and/or aggregate material to construct and maintain the “Choctaw-Intracoastal Subdivision” Phase I to include home sites, access road, utilities and drainage infrastructure. Approximately 13,310 cubic yards of fill material would be hauled in and deposited in wetlands to achieve required grade elevation requirements. The proposed project will impact 2.75 acres of wetlands and 0.03 acre of other waters. All access, work, and staging areas will be located within the area of development and no bulkheads, docks, or piers within the Port Allen Lock waterway are proposed. It is anticipated that the proposed action would have minimal impact on adjacent wetlands with required best management practices to reduce runoff and erosion.MITIGATION: The applicant claims that the lot sizes and the roadway were reduced to reduce impacts to wetlands and that impacted wetlands will be mitigated for with in-kind wetland credits from a Corps approved mitigation bank located in the watershed.",,MVN-2022-00376-CF,MVN,New Orleans District,ERROR: 'NoneType' object has no attribute 'group',(504) 862-1288,862-1288Zachary.j.steinkoenig@usace.army.mil,"In and adjacent to Port Allen Lock, approximate ly 3.5 miles southwe st of Brusly , Louisiana , in West Baton Rouge Parish, within the Terrebonne Basin in hydrologic unit (HUC 08070300 ), as sho wn on the attached drawings.","The applican t has requested Department of the Army authorization to clear, grade, excavate and deposit fill and/or aggregate material to constru ct and maintain the “Choctaw-Intracoastal Subdivision” Phase I to include home sites, access road, utilitie s and drainage infrastructu re.  Approximate ly 13,310 cubic yards of fill material wou ld be hauled in and deposited in wetlands to achieve required grade elevation requirements .  The proposed projec t will impact 2.75 acres of wetlands and 0.03 acre of o ther waters.  All access, work, and staging areas will be located within the area of development and no bulkhead s, docks, or piers with in the Port Allen Lock waterway are proposed . It is anticipated that the proposed action would have minimal impac t on adjacent wetlands with required be st management practices to reduce runoff and erosion.  MITIGATION   The applica nt claims that the lot sizes and the roadway were reduced to reduce impacts to wetlands and that impacted wetlands will be mitigated for with in-kind wetland credits from a Corps approved mitigation bank located in the watershed.    -2-",,West Baton Rouge,,,,['2.75'],,,1
83,MVN-2021-00317-CF,https://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/3283699/mvn-2021-00317-cf/,PROPOSED HIGHWAY EXTENSION BETWEEN JEFFERSON HIGHWAY AND AIRLINE HIGHWAY IN EAST BATON ROUGE PARISH<br />,"Mon, 06 Feb 2023 05:00:00 GMT",https://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/2021_-00317_PNall.pdf?ver=hKyul9bbGwyQjJG-D8jMYg%3d%3d,No,2/27/2023,"CITY OF BATON ROUGE, c/o GeoEngineers, Inc., 11955 Lakeland Park Blvd Suite 100, Baton Rouge, LA 70809, Attn: Brandon Muller.",CITY OF BATON ROUGE,"GeoEngineers, Inc.","Road extension between Jefferson Highway and Airline Highway in Baton Rouge, Louisiana, within East Baton Rouge Parish, within the Lake Pontchartrain Basin in hydrologic unit (HUC 08070202), as shown on the attached drawings.","The applicant has requested a Department of the Army authorization to clear, grade, excavate and deposit fill and/or aggregate material to construct and maintain a roadway/highway extension between Airline and Jefferson Highway in Baton Rouge, Louisiana. The project is proposed to alleviate localized traffic. Approximately 0.61 acre of wetlands will be cleared and filled for the construction of the highway extension. Secondary impacts to wetlands are expected to be minimal with required best management practices to reduce runoff and erosion. The applicant claims that the project has minimal impacts to isolated wetland pockets existing between Airline and Jefferson Highway. The wetlands are not of high value given their isolation and location within a highly commercial area. Impacts to wetlands were minimized to the maximum practicable degree.",,ERROR: 'NoneType' object has no attribute 'group',ERROR: cannot get permit application number,ERROR: cannot get permit application number,ERROR: 'NoneType' object has no attribute 'group',(504)  862-1288,862-1288Zachary.j.steinkoenig@usace.army.mil,"Road extension between Jefferson Highway and Airline Highway in Baton Rouge , Louisiana, within East Baton Rouge  Parish,  within the Lake Pontchartrain Basin  in hydrologic unit (HUC 08070 202), as shown on the attached drawings.","The applicant has requested a Department of the Army authorization to clear, grade , excavate  and deposit fill and/or aggregate material to construct and maintain a roadway/highway extension between Airline and Jefferson Highway in Baton Rouge, Louisiana. The project is proposed to alleviate localized traffic. Approximately 0.6 1 acre of wetlands will be cleared and filled for the construction of the highway extension. Secondary impacts to wetlands are expected to be minimal with required best man agement practices to reduce runoff and erosion.   The applicant  claims that the project has minimal impacts to isolated wetland pockets existing between Airline and Jefferson Highway. The wetlands are not of high value given their isolation and location within a highly commercial area. Impacts to wetlands were minimize d to the maximum practicable degree.",,"Baton Rouge , Louisiana, within East Baton Rouge",,,,[],,,4
